date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:10:36	35881/35881	---M-Z	200	added ('OK')	text/html	date:Sun,%2004%20Jun%202023%2015:22:06%20GMT	https://www.madebydesignesia.com/themes/profession/index-2.html	C:/Users/user/Desktop/Desktop/profile-1/www.madebydesignesia.com/themes/profession/index-2.html	(from )
16:10:37	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2001%20May%202024%2010:40:36%20GMT	https://www.madebydesignesia.com/robots.txt		(from )
16:10:37	128786/128786	---M-Z	200	added ('OK')	text/css	date:Tue,%2027%20Feb%202018%2009:25:10%20GMT	https://www.madebydesignesia.com/themes/profession/css/bootstrap.css	C:/Users/user/Desktop/Desktop/profile-1/www.madebydesignesia.com/themes/profession/css/bootstrap.css	(from https://www.madebydesignesia.com/themes/profession/index-2.html)
16:10:37	75599/75599	---M-Z	200	added ('OK')	text/css	date:Thu,%2001%20Mar%202018%2005:20:48%20GMT	https://www.madebydesignesia.com/themes/profession/css/animate.css	C:/Users/user/Desktop/Desktop/profile-1/www.madebydesignesia.com/themes/profession/css/animate.css	(from https://www.madebydesignesia.com/themes/profession/index-2.html)
16:10:37	8077/8077	---M-Z	200	added ('OK')	text/css	date:Tue,%2029%20Nov%202016%2018:40:10%20GMT	https://www.madebydesignesia.com/themes/profession/css/owl.carousel.css	C:/Users/user/Desktop/Desktop/profile-1/www.madebydesignesia.com/themes/profession/css/owl.carousel.css	(from https://www.madebydesignesia.com/themes/profession/index-2.html)
16:10:37	8265/8265	---M-Z	200	added ('OK')	text/css	date:Wed,%2025%20May%202016%2010:50:30%20GMT	https://www.madebydesignesia.com/themes/profession/css/magnific-popup.css	C:/Users/user/Desktop/Desktop/profile-1/www.madebydesignesia.com/themes/profession/css/magnific-popup.css	(from https://www.madebydesignesia.com/themes/profession/index-2.html)
16:10:38	144452/144452	---M-Z	200	added ('OK')	text/css	date:Wed,%2025%20Nov%202020%2005:02:28%20GMT	https://www.madebydesignesia.com/themes/profession/css/style.css	C:/Users/user/Desktop/Desktop/profile-1/www.madebydesignesia.com/themes/profession/css/style.css	(from https://www.madebydesignesia.com/themes/profession/index-2.html)
16:10:38	2660/2660	---M-Z	200	added ('OK')	text/css	date:Fri,%2007%20May%202021%2007:55:02%20GMT	https://www.madebydesignesia.com/themes/profession/css/bg.css	C:/Users/user/Desktop/Desktop/profile-1/www.madebydesignesia.com/themes/profession/css/bg.css	(from https://www.madebydesignesia.com/themes/profession/index-2.html)
16:10:38	6962/6962	---M-Z	200	added ('OK')	text/css	date:Tue,%2027%20Feb%202018%2017:24:42%20GMT	https://www.madebydesignesia.com/themes/profession/css/colors/scheme-5.css	C:/Users/user/Desktop/Desktop/profile-1/www.madebydesignesia.com/themes/profession/css/colors/scheme-5.css	(from https://www.madebydesignesia.com/themes/profession/index-2.html)
16:10:38	5167/5167	---M--	200	added ('OK')	image/png	date:Fri,%2030%20Jun%202017%2013:43:36%20GMT	https://www.madebydesignesia.com/themes/profession/images/logo-light.png	C:/Users/user/Desktop/Desktop/profile-1/www.madebydesignesia.com/themes/profession/images/logo-light.png	(from https://www.madebydesignesia.com/themes/profession/index-2.html)
